product_name,description,price,quantity,tag,image
Pavilion x360 11-k103na N7H44EA#ABU Intel Celeron,"X3 - Black (4 Inch, 3G, 4GB Rom, 512 MB Ram)","26,200",40,26,laptop.jpg
"Hp-14 Intel Celeron Dualcore-1.6GHz (4GB,500GB HDD) 14 Inch Windows 10 Laptop","Innjoo  X3 - Black (4 Inch, 3G, 4GB Rom, 512 MB Ram)","55,800",40,27,laptop1.jpg
MacBook Pro - 15.4&quot; Display - Intel Core i7 - 16GB Memory - 256GB Flash Storage,Fero  Royale A1 - Space Grey + Free Daviva Fabric + 1 Headset + F-Secure Anti-Virus + #500 Airtime,"55,800",40,28,laptop2.jpg
250 G4 Intel Celeron Dual Core-1.6GHz,BAM 4&quot; 3G Dual SIM Smart Phone - Black + Android Marshmallow + Free Leather Flip Case Cover,"26,200",40,32,laptop3.jpg
HP 250 G4 Intel Celeron 1.6GHz,"iMose  BAM 4"" 3G Dual SIM Smart Phone - Black + Android Marshmallow + Free Leather Flip Case Cover","26,200",40,26,laptop4.jpg
Pavilion X2 Intel Atom,Royale A1 - Space Grey + Free Daviva Fabric + 1 Headset + F-Secure Anti-Virus + #500 Airtime,"17,650",40,27,laptop5.jpg
G4 AMD Dual Core-1.4GHz ,Fero  Royale A1 - Space Grey + Free Daviva Fabric + 1 Headset + F-Secure Anti-Virus + #500 Airtime,"35,800",40,28,laptop.jpg
X453SA Intel celeron dualcore-2.16Ghz ,Fero  Royale A1 - Space Grey + Free Daviva Fabric + 1 Headset + F-Secure Anti-Virus + #500 Airtime,"36,990",40,32,laptop1.jpg
Aspire ES 14 Intel Celeron Quad Core,One Touch Popstar - Gold + FREE 8GB Memory Card,"17,500",40,26,laptop2.jpg
Intel Celeron Dual Core-1.7ghz,Alcatel  One Touch Popstar - Gold + FREE 8GB Memory Card,"21,000",40,27,laptop3.jpg
Intel celeron quad core 1.6Ghz,A101 - 4G Smartphone 5.0 inch Android 6.0 MT6737 1.3GHz Quad Core 1GB+8GB EU Plug - White,"40,700",40,28,laptop4.jpg
Stream 11 Intel celeron 2gb Ram,UHANS  A101 - 4G Smartphone 5.0 inch Android 6.0 MT6737 1.3GHz Quad Core 1GB+8GB EU Plug - White,"153,737",40,32,laptop5.jpg
Pavilion x2 10- k000nia Detachable Touch PC ,SHIPPED FROM OVERSEAS,"28,950",40,26,laptop3.jpg
Ideapad 300-14IBR Intel celeron-1.6ghz ,Upscale UHANS H5000 4G 1.25GHz Quad-core 3GB + 32GB Dual Camera Smartphone,"48,000",40,27,laptop4.jpg
Lenovo  Ideapad 300-14IBR Intel celeron-1.6ghz,UHANS  Upscale UHANS H5000 4G 1.25GHz Quad-core 3GB + 32GB Dual Camera Smartphone,"42,700",40,28,laptop2.jpg
Lenovo  Ideapad 300-14IBR Intel celeron-1.6ghz,A8 PLUS - 3G Tablet/Smartphone (6.0 inch Android 5.1 MTK6580 Quad Core 1GB/8GB) EU Plug - Rose Gold,"65,499",40,32,laptop1.jpg
