product_name,description,price,quantity,tag,image
Innjoo  Fire2 Plus,"X3 - Black (4 Inch, 3G, 4GB Rom, 512 MB Ram)","26,200",40,16,phone.png
Innjoo  Fire2 Plus,"Innjoo  X3 - Black (4 Inch, 3G, 4GB Rom, 512 MB Ram)","55,800",40,17,phone1.png
Alcatel  Pop Star,Fero  Royale A1 - Space Grey + Free Daviva Fabric + 1 Headset + F-Secure Anti-Virus + #500 Airtime,"55,800",40,18,phone2.png
Gionee  M6- Champagne (64GB),BAM 4&quot; 3G Dual SIM Smart Phone - Black + Android Marshmallow + Free Leather Flip Case Cover,"26,200",40,19,phone3.png
Gionee  P8w - Black,"iMose  BAM 4"" 3G Dual SIM Smart Phone - Black + Android Marshmallow + Free Leather Flip Case Cover","26,200",40,16,phone4.png
Tecno  W2 - Grey,Royale A1 - Space Grey + Free Daviva Fabric + 1 Headset + F-Secure Anti-Virus + #500 Airtime,"17,650",40,17,phone5.png
Innjoo  Halo X - Grey,Fero  Royale A1 - Space Grey + Free Daviva Fabric + 1 Headset + F-Secure Anti-Virus + #500 Airtime,"35,800",40,18,phone6.png
Gionee  M5- Gold,Fero  Royale A1 - Space Grey + Free Daviva Fabric + 1 Headset + F-Secure Anti-Virus + #500 Airtime,"36,990",40,19,phone7.png
Tecno W3,One Touch Popstar - Gold + FREE 8GB Memory Card,"17,500",40,16,phone8.png
Tecno  Tecno W3,Alcatel  One Touch Popstar - Gold + FREE 8GB Memory Card,"21,000",40,17,phone1.png
Phantom 6 - Gold,A101 - 4G Smartphone 5.0 inch Android 6.0 MT6737 1.3GHz Quad Core 1GB+8GB EU Plug - White,"40,700",40,18,phone2.png
Tecno  Y2 - Blue,UHANS  A101 - 4G Smartphone 5.0 inch Android 6.0 MT6737 1.3GHz Quad Core 1GB+8GB EU Plug - White,"153,737",40,19,phone3.png
1409 - Dark Blue,SHIPPED FROM OVERSEAS,"28,950",40,16,phone4.png
L8 Lite - Black,Upscale UHANS H5000 4G 1.25GHz Quad-core 3GB + 32GB Dual Camera Smartphone,"48,000",40,17,phone5.png
Tecno  L8 Lite - Black,UHANS  Upscale UHANS H5000 4G 1.25GHz Quad-core 3GB + 32GB Dual Camera Smartphone,"42,700",40,18,phone6.png
Alcatel  One Touch Popstar,A8 PLUS - 3G Tablet/Smartphone (6.0 inch Android 5.1 MTK6580 Quad Core 1GB/8GB) EU Plug - Rose Gold,"65,499",40,19,phone7.png
